date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:03:35	34048/34048	---MCZ	200	added ('OK')	text/html	etag:%22dc343562f5ffbbcc7740684be82fc3a9-ssl-df%22	https://kerrilive.netlify.app/light/index_17.html	C:/Users/Aline%20Morandi/Documents/Site/copia2/kerrilive.netlify.app/light/index_17.html	(from )
11:03:36	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	etag:1633357539-ssl-df	https://kerrilive.netlify.app/robots.txt		(from )
11:03:36	104923/104923	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22f895d8266de7a94322e84c4957a75cd5-ssl%22	https://kerrilive.netlify.app/light/images/favicon.ico	C:/Users/Aline%20Morandi/Documents/Site/copia2/kerrilive.netlify.app/light/images/favicon.ico	(from https://kerrilive.netlify.app/light/index_17.html)
11:03:37	163873/163873	---MCZ	200	added ('OK')	text/css	etag:%22a47f8d3166eda120f9bf0dd6c47720e7-ssl-df%22	https://kerrilive.netlify.app/light/css/bootstrap.min.css	C:/Users/Aline%20Morandi/Documents/Site/copia2/kerrilive.netlify.app/light/css/bootstrap.min.css	(from https://kerrilive.netlify.app/light/index_17.html)
11:03:37	86891/86891	---MCZ	200	added ('OK')	text/css	etag:%22aab178e07285af3f1baf2a4d7c4a0e80-ssl-df%22	https://kerrilive.netlify.app/light/css/materialdesignicons.min.css	C:/Users/Aline%20Morandi/Documents/Site/copia2/kerrilive.netlify.app/light/css/materialdesignicons.min.css	(from https://kerrilive.netlify.app/light/index_17.html)
11:03:37	3351/3351	---MCZ	200	added ('OK')	text/css	etag:%22873d102310523db811ebc62724307bfc-ssl-df%22	https://kerrilive.netlify.app/light/css/owl.carousel.min.css	C:/Users/Aline%20Morandi/Documents/Site/copia2/kerrilive.netlify.app/light/css/owl.carousel.min.css	(from https://kerrilive.netlify.app/light/index_17.html)
11:03:38	56048/56048	---MCZ	200	added ('OK')	text/css	etag:%22334b07784ce399f3e1f4065c978133fc-ssl-df%22	https://kerrilive.netlify.app/light/css/animate.min.css	C:/Users/Aline%20Morandi/Documents/Site/copia2/kerrilive.netlify.app/light/css/animate.min.css	(from https://kerrilive.netlify.app/light/index_17.html)
11:03:38	7782/7782	---MCZ	200	added ('OK')	text/css	etag:%22010273161e2da9779442fc9772d0ece2-ssl-df%22	https://kerrilive.netlify.app/light/css/magnific-popup.css	C:/Users/Aline%20Morandi/Documents/Site/copia2/kerrilive.netlify.app/light/css/magnific-popup.css	(from https://kerrilive.netlify.app/light/index_17.html)
11:03:39	7623/7623	---MCZ	200	added ('OK')	text/css	etag:%22eaa2e050e7254976b96d4b05824c9d54-ssl-df%22	https://kerrilive.netlify.app/light/css/mobiriseicons.css	C:/Users/Aline%20Morandi/Documents/Site/copia2/kerrilive.netlify.app/light/css/mobiriseicons.css	(from https://kerrilive.netlify.app/light/index_17.html)
11:03:39	14692/14692	---MCZ	200	added ('OK')	text/css	etag:%22a5ecf08cf07745aab6c6233db38865b0-ssl-df%22	https://kerrilive.netlify.app/light/css/style.css	C:/Users/Aline%20Morandi/Documents/Site/copia2/kerrilive.netlify.app/light/css/style.css	(from https://kerrilive.netlify.app/light/index_17.html)
11:03:39	915/915	---M--	200	added ('OK')	text/css	etag:%229a5ccb8dda3a7f2b0a642f18736972c5-ssl%22	https://kerrilive.netlify.app/light/css/color/default.css	C:/Users/Aline%20Morandi/Documents/Site/copia2/kerrilive.netlify.app/light/css/color/default.css	(from https://kerrilive.netlify.app/light/index_17.html)
